recommendation1,recommendation2,recommendation3
261,2004,2040
1443,1501,624
31,662,517
1418,1024,1827
438,1532,755
359,588,388
1610,1159,1776
1429,1134,309
398,1252,1829
1150,806,1532
603,1706,186
1914,2059,1748
970,545,2013
1455,1458,94
1583,1533,1457
1585,1314,1458
1455,1581,1457
1583,939,1242
1556,742,968
828,829,308
1072,1893,1676
890,747,1735
659,35,1595
967,1312,361
1893,1382,1890
855,628,1180
262,790,1126
585,1196,200
115,274,1826
1204,502,527
1227,1180,1532
628,875,1010
1203,1199,1096
1088,1059,1532
1532,1556,834
469,291,34
1202,1227,1242
205,14,660
546,1927,442
1048,1174,454
220,1656,1494
1132,111,538
827,660,597
802,638,151
508,1280,1485
440,967,755
1051,1485,596
570,1374,197
1700,659,1658
1431,1485,621
621,1254,659
1949,887,1893
1622,179,519
812,1889,808
300,1511,825
498,200,151
700,1061,1960
952,1376,514
481,121,1376
121,160,611
505,1450,504
621,677,922
516,321,912
682,1429,1776
1825,1875,198
1893,1956,1949
1893,440,443
1685,343,872
1940,1071,1092
586,967,872
212,381,126
1960,1654,823
1106,873,559
244,1539,116
615,988,1398
617,618,380
2058,821,1334
621,1068,924
940,1027,1889
312,628,1067
1355,581,1284
1914,627,128
972,193,581
1803,707,1149
2037,1803,1532
488,559,1752
584,764,454
1530,163,655
1529,295,585
380,1673,924
1580,1867,628
1456,1977,94
1068,538,1288
742,923,924
501,1654,1966
479,1086,89
1631,310,1699
1515,621,1043
1705,1366,606
875,627,631
1068,1519,872
567,525,1973
1648,974,380
1482,898,1720
872,1450,1059
1556,179,761
352,1493,1965
1574,984,1012
1539,1980,1533
843,1706,1669
823,875,627
1913,2010,1052
102,1485,30
1701,1673,1681
907,291,34
686,1926,74
1284,147,675
1155,331,681
508,1685,319
991,739,257
1565,1936,1007
1806,460,1485
1563,498,397
34,291,1007
459,140,1646
1376,190,1178
1538,675,1486
952,1014,1376
1219,364,4
1051,546,817
1539,859,1456
1719,448,1384
546,1913,1370
1033,1218,1341
951,1574,1391
875,488,1931
663,933,708
1824,2067,1092
1532,1867,1071
1455,1458,94
341,347,874
1456,1533,361
1623,205,1574
1457,1533,1054
513,515,516
